area_type,area_code,area_name,scope,n_blocks,uhi_mean,uhi_p10,uhi_p90,canopy_mean,canopy_p10,canopy_p90,coolest_mb_code,coolest_uhi,coolest_canopy_pct
METRO,METRO,Metropolitan Melbourne,ALL,54239,8.4591,6.1257,10.7262,12.9561,3.237,24.6597,20485780000,-7.4353,29.8191
LGA,Banyule (C),Banyule (C),ALL,1555,8.2497,7.0365,9.3664,18.52,9.5858,29.8454,20698000000,2.5175,51.2142
LGA,Bayside (C),Bayside (C),ALL,1277,7.3727,5.7373,8.8698,15.668,7.6577,22.449,20675950000,0.6177,0.577
LGA,Boroondara (C),Boroondara (C),ALL,2237,7.5026,6.5884,8.4206,19.0645,9.8717,27.4985,20070781000,3.0069,4.3285
LGA,Brimbank (C),Brimbank (C),ALL,2247,10.7503,9.8416,11.9056,6.6962,2.4661,11.3913,20631923010,1.898,1.4776
LGA,Cardinia (S),Cardinia (S),ALL,911,9.8819,4.3934,13.218,14.2583,1.2144,43.5298,20101820000,0.9462,43.2483
LGA,Casey (C),Casey (C),ALL,2974,10.7918,8.1277,13.8482,9.8272,2.6426,17.3515,20128340000,2.7575,0.0448
LGA,Darebin (C),Darebin (C),ALL,1923,8.5267,7.4584,9.3694,10.7631,4.0583,18.069,20631899640,4.9055,37.7704
LGA,Frankston (C),Frankston (C),ALL,1871,8.252,5.7782,10.0531,14.7293,5.3591,23.8212,20678490000,-0.841,0.0287
LGA,Glen Eira (C),Glen Eira (C),ALL,1714,8.635,7.8851,9.3874,12.4227,6.7485,18.3271,20631928880,5.3011,39.2795
LGA,Greater Dandenong (C),Greater Dandenong (C),ALL,1852,9.2663,8.2489,10.4024,8.0727,2.8062,12.867,20631943960,0.9939,4.1175
LGA,Hobsons Bay (C),Hobsons Bay (C),ALL,1259,7.974,5.7865,10.0677,8.6575,3.0954,14.0595,20276230000,-1.094,0.3022
LGA,Hume (C),Hume (C),ALL,2029,9.2378,8.2031,10.2506,7.8036,2.0359,13.5546,20294912000,3.9905,4.2082
LGA,Kingston (C) (Vic.),Kingston (C) (Vic.),ALL,2209,9.0507,6.9282,10.517,8.9167,2.1227,14.6726,20677630000,1.073,0.1554
LGA,Knox (C),Knox (C),ALL,1725,7.5241,5.7801,8.8731,15.3716,7.627,24.4093,20631990990,0.433,53.6751
LGA,Manningham (C),Manningham (C),ALL,1375,8.032,5.3982,9.3681,18.4521,9.4867,34.9793,20719890000,2.3614,27.6543
LGA,Maribyrnong (C),Maribyrnong (C),ALL,1096,9.3513,7.6562,10.7716,9.0182,3.6632,14.559,20631989030,4.4666,3.1602
LGA,Maroondah (C),Maroondah (C),ALL,1382,7.0284,5.7494,8.2576,20.3868,9.979,30.6959,20386960000,3.4457,43.0454
LGA,Melbourne (C),Melbourne (C),ALL,1323,7.9398,6.0661,9.5939,11.6071,1.575,22.9645,20399560000,-1.9021,0.0002
LGA,Melton (C),Melton (C),ALL,1398,10.7309,9.239,12.157,5.7788,0.9724,10.2268,20631951360,5.2487,2.932
LGA,Mitchell (S),Mitchell (S),ALL,120,6.5705,5.2887,7.8251,7.4099,0.7887,17.8732,20631958700,3.7535,12.313
LGA,Monash (C),Monash (C),ALL,2179,8.4341,7.5679,9.2908,13.286,6.5465,19.8508,20434530000,3.0358,20.8315
LGA,Moonee Valley (C),Moonee Valley (C),ALL,1526,9.6313,8.6701,10.5186,10.468,3.9359,17.6,20452160000,5.2839,9.3176
LGA,Moreland (C),Moreland (C),ALL,2106,9.1965,8.333,10.0792,9.5192,3.0598,15.8313,20465244000,4.8711,1.1824
LGA,Mornington Peninsula (S),Mornington Peninsula (S),ALL,3025,4.9238,1.551,7.9541,19.9094,6.6882,34.5645,20485780000,-7.4353,29.8191
LGA,Nillumbik (S),Nillumbik (S),ALL,616,6.9423,4.8479,8.6712,27.8975,13.9996,42.9142,20719640000,1.8414,53.3557
LGA,Port Phillip (C),Port Phillip (C),ALL,1582,7.3983,5.8482,8.8417,14.6054,4.8353,25.9035,20532141000,-2.8065,0.7378
LGA,Stonnington (C),Stonnington (C),ALL,1597,7.5599,6.5751,8.4854,17.3616,4.4712,28.63,20668430000,3.6146,23.6341
LGA,Whitehorse (C),Whitehorse (C),ALL,1969,7.9298,6.8525,8.8863,17.8158,9.3168,27.653,20599460000,3.1907,30.8062
LGA,Whittlesea (C),Whittlesea (C),ALL,2169,9.4612,8.361,10.7064,7.1557,2.1133,12.7256,20612086100,4.444,4.0878
LGA,Wyndham (C),Wyndham (C),ALL,2226,9.2253,7.3106,11.6159,5.5741,0.9786,10.0312,20690180000,1.1628,0.008
LGA,Yarra (C),Yarra (C),ALL,1378,8.2655,7.1688,9.3915,11.0203,2.1461,20.825,20699300000,2.1818,33.9644
LGA,Yarra Ranges (S),Yarra Ranges (S),ALL,1389,5.9227,3.2367,8.0755,26.9273,11.1162,47.7888,20647734000,-3.0492,34.1667
SA3,20601,Brunswick - Coburg,ALL,1160,9.0061,8.2358,9.8047,9.9245,2.2319,16.7553,20465244000,4.8711,1.1824
SA3,20602,Darebin - South,ALL,743,8.0643,7.1618,8.96,12.9525,4.3093,21.7524,20631899640,4.9055,37.7704
SA3,20603,Essendon,ALL,866,9.3661,8.5323,10.2657,11.5611,4.9763,18.675,20452160000,5.2839,9.3176
SA3,20604,Melbourne City,ALL,1294,7.9689,6.0944,9.6012,11.7557,1.7073,23.0352,20675220000,-1.7678,0.0022
SA3,20605,Port Phillip,ALL,1610,7.3874,5.8249,8.848,14.4148,4.4297,25.8178,20532141000,-2.8065,0.7378
SA3,20606,Stonnington - West,ALL,988,7.3809,6.3755,8.3288,17.2948,3.6265,29.181,20668430000,3.6146,23.6341
SA3,20607,Yarra,ALL,1393,8.2584,7.1102,9.3901,11.0777,2.1834,20.9826,20699300000,2.1818,33.9644
SA3,20701,Boroondara,ALL,2230,7.4986,6.5867,8.409,19.0855,9.8797,27.525,20070781000,3.0069,4.3285
SA3,20702,Manningham - West,ALL,1083,8.5692,7.5903,9.4697,15.4135,8.8144,22.4629,20697980000,2.959,56.0742
SA3,20703,Whitehorse - West,ALL,1257,7.958,6.9486,8.8538,17.5885,9.2178,27.4423,20605970000,3.7746,50.9156
SA3,20801,Bayside,ALL,1277,7.3727,5.7373,8.8698,15.668,7.6577,22.449,20675950000,0.6177,0.577
SA3,20802,Glen Eira,ALL,1805,8.6305,7.8855,9.3865,12.3859,6.7301,18.232,20631928880,5.3011,39.2795
SA3,20803,Kingston,ALL,1802,8.8834,6.43,10.5181,8.8437,1.6982,14.5341,20677630000,1.073,0.1554
SA3,20804,Stonnington - East,ALL,609,7.8503,7.0489,8.6586,17.4699,7.1315,27.0404,20698900000,4.8668,41.0935
SA3,20901,Banyule,ALL,1556,8.2495,7.0366,9.3658,18.5171,9.5866,29.8358,20698000000,2.5175,51.2142
