mb_code16,sa1_code16,sa2_code16,sa2_name,sa3_code16,sa3_name,lga_name,uhi_mean,canopy_pct,grass_pct,shrub_pct,any_veg_pct,shrub_tree_pct,tree_03_10_pct,tree_10_15_pct,tree_15plus_pct,mb_category,dwellings,persons,area_sqkm,irsd_score,irsd_decile
20015920000,20901120010,209011200,Ivanhoe,20901,Banyule,Banyule (C),8.3359,24.7495,1.3696,7.4969,33.616,32.2464,19.1495,4.0626,1.5374,Residential,30,65,0.0142,1029,6
20015930000,20901120003,209011200,Ivanhoe,20901,Banyule,Banyule (C),8.2471,13.4007,7.8713,9.052,30.324,22.4527,12.0094,1.1832,0.2081,Residential,29,76,0.0208,1107,10
20015940000,20901120107,209011201,Ivanhoe East - Eaglemont,20901,Banyule,Banyule (C),7.4026,21.2637,8.1975,9.1223,38.5835,30.386,18.0006,3.1317,0.1314,Residential,42,109,0.0431,1091,9
20015950000,20901120114,209011201,Ivanhoe East - Eaglemont,20901,Banyule,Banyule (C),7.5913,22.5897,5.0999,7.9356,35.6252,30.5253,20.0879,2.1047,0.3972,Residential,34,79,0.0325,1127,10
20015960000,20901120005,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.5025,16.5386,10.2194,10.1911,36.9491,26.7297,15.7415,0.797,0.0,Residential,35,89,0.0204,1097,9
20015970000,20901120113,209011201,Ivanhoe East - Eaglemont,20901,Banyule,Banyule (C),7.2,49.0807,2.4657,2.4223,53.9687,51.503,12.2088,16.1953,20.6767,Parkland,0,0,0.0178,1121,10
20015980000,20901120004,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.307,22.5662,5.6504,8.7153,36.932,31.2816,17.4008,2.8626,2.3028,Residential,20,48,0.0187,1119,10
20015990000,20901120109,209011201,Ivanhoe East - Eaglemont,20901,Banyule,Banyule (C),7.1301,29.0268,5.3669,5.1711,39.5648,34.1979,19.2177,7.77,2.0391,Residential,32,47,0.0176,1111,10
20016000000,20901120008,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.8163,27.6674,4.5482,7.7011,39.9167,35.3684,19.5238,6.2515,1.892,Residential,39,92,0.0244,1089,9
20016010000,20901120108,209011201,Ivanhoe East - Eaglemont,20901,Banyule,Banyule (C),6.7344,24.5862,7.3062,8.6838,40.5762,33.27,16.1974,4.5661,3.8227,Residential,31,92,0.0343,1127,10
20016020000,20901119915,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.1019,10.0642,14.3453,8.967,33.3766,19.0313,9.3561,0.6593,0.0488,Residential,36,87,0.0297,987,4
20016030000,20901120026,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.0394,23.4159,7.4714,8.2091,39.0964,31.625,16.9612,5.4343,1.0204,Residential,35,87,0.0214,1102,9
20016040000,20901119916,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.4391,8.0901,12.1543,7.2984,27.5428,15.3885,6.3672,1.0215,0.7015,Residential,42,107,0.0406,931,3
20016050000,20901120026,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.2403,29.0,3.0482,3.5768,35.625,32.5768,11.8377,10.93,6.2323,Parkland,0,0,0.0187,1102,9
20016060000,20901120015,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.2139,16.8937,7.6083,8.3556,32.8576,25.2493,13.651,3.2076,0.035,Residential,51,116,0.0289,1091,9
20016070000,20901120022,209011200,Ivanhoe,20901,Banyule,Banyule (C),9.409,6.8227,8.0144,3.7744,18.6114,10.5971,2.212,2.138,2.4727,Education,0,0,0.023,1044,7
20016080000,20901119806,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.8383,14.3842,5.8174,8.0708,28.2724,22.455,10.9441,2.8127,0.6274,Residential,47,86,0.0284,1086,9
20016090000,20901119808,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.1834,14.2346,7.3665,8.2333,29.8344,22.4679,10.6449,2.6509,0.9388,Residential,28,60,0.0126,1063,8
20016100000,20901119912,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.5862,9.1193,13.2579,7.3766,29.7538,16.4959,6.2044,1.3223,1.5926,Residential,40,76,0.0312,961,3
20016110000,20901119805,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.05,19.0167,3.8227,8.1741,31.0135,27.1908,14.9057,3.8741,0.2369,Residential,48,100,0.0266,1051,7
20016120000,20901119813,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.4207,14.0458,11.2573,5.9657,31.2688,20.0115,11.7674,1.8404,0.438,Residential,33,55,0.0167,1077,8
20016130000,20901119810,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),10.2106,14.3823,5.2889,7.1346,26.8058,21.5169,13.5855,0.6118,0.185,Residential,25,43,0.0108,980,4
20016140000,20901119810,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),9.6792,13.787,2.9785,6.0353,22.8009,19.8224,10.1027,2.8068,0.8774,Residential,46,82,0.0145,980,4
20016150000,20901119810,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),9.7069,6.0346,1.2335,1.7448,9.0129,7.7794,5.2054,0.6214,0.2078,Commercial,8,14,0.0234,980,4
20016160000,20901119806,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),7.9004,24.5395,11.5364,7.2384,43.3143,31.7779,15.266,5.0036,4.2699,Residential,29,58,0.0266,1086,9
20016170000,20901119919,209011199,Heidelberg West,20901,Banyule,Banyule (C),7.9685,14.325,9.5354,9.0248,32.8852,23.3498,12.5306,1.2482,0.5462,Residential,38,103,0.0298,1080,8
20016180000,20901119804,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),8.245,11.1775,8.1849,2.5194,21.8818,13.6969,6.8034,3.6378,0.7362,Parkland,0,0,0.0456,1094,9
20016200000,20901119920,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.1911,17.5652,10.7355,8.5284,36.829,26.0935,13.3328,4.1798,0.0526,Residential,25,61,0.0152,981,4
20016210000,20901119917,209011199,Heidelberg West,20901,Banyule,Banyule (C),8.2538,16.1329,8.3694,8.2024,32.7047,24.3353,12.0644,2.6947,1.3738,Residential,32,80,0.0221,1013,5
