mb_code16,warming_level,days_label,days_lower,days_upper
20015920000,1.2,5-10,5,10
20015930000,1.2,5-10,5,10
20015940000,1.2,5-10,5,10
20015950000,1.2,5-10,5,10
20015960000,1.2,5-10,5,10
20015970000,1.2,5-10,5,10
20015980000,1.2,5-10,5,10
20015990000,1.2,5-10,5,10
20016000000,1.2,5-10,5,10
20016010000,1.2,5-10,5,10
20016020000,1.2,5-10,5,10
20016030000,1.2,5-10,5,10
20016040000,1.2,5-10,5,10
20016050000,1.2,5-10,5,10
20016060000,1.2,5-10,5,10
20016070000,1.2,5-10,5,10
20016080000,1.2,5-10,5,10
20016090000,1.2,5-10,5,10
20016100000,1.2,5-10,5,10
20016110000,1.2,5-10,5,10
20016120000,1.2,5-10,5,10
20016130000,1.2,5-10,5,10
20016140000,1.2,5-10,5,10
20016150000,1.2,5-10,5,10
20016160000,1.2,5-10,5,10
20016170000,1.2,5-10,5,10
20016180000,1.2,5-10,5,10
20016200000,1.2,5-10,5,10
20016210000,1.2,5-10,5,10
20016220000,1.2,5-10,5,10
20016230000,1.2,5-10,5,10
20016240000,1.2,5-10,5,10
20016250000,1.2,5-10,5,10
20016260000,1.2,5-10,5,10
20016271000,1.2,5-10,5,10
20016272000,1.2,5-10,5,10
20016280000,1.2,5-10,5,10
20016290000,1.2,5-10,5,10
20016300000,1.2,5-10,5,10
20016310000,1.2,5-10,5,10
20016320000,1.2,5-10,5,10
20016332000,1.2,5-10,5,10
20016333000,1.2,5-10,5,10
20016340000,1.2,5-10,5,10
20016350000,1.2,5-10,5,10
20016360000,1.2,5-10,5,10
20016370000,1.2,5-10,5,10
20016380000,1.2,5-10,5,10
20016390000,1.2,5-10,5,10
20016400000,1.2,5-10,5,10
20015600000,1.2,5-10,5,10
20016410000,1.2,5-10,5,10
20016420000,1.2,5-10,5,10
20016430000,1.2,5-10,5,10
20016440000,1.2,5-10,5,10
20016450000,1.2,5-10,5,10
20016460000,1.2,5-10,5,10
20016470000,1.2,5-10,5,10
20016480000,1.2,5-10,5,10
20016490000,1.2,5-10,5,10
20016500000,1.2,5-10,5,10
20017641000,1.2,5-10,5,10
20016510000,1.2,5-10,5,10
20016520000,1.2,5-10,5,10
20015430000,1.2,5-10,5,10
20015440000,1.2,5-10,5,10
20015450000,1.2,5-10,5,10
20015460000,1.2,5-10,5,10
20015470000,1.2,5-10,5,10
20015480000,1.2,5-10,5,10
20015490000,1.2,5-10,5,10
20015500000,1.2,5-10,5,10
20015510000,1.2,5-10,5,10
20015520000,1.2,5-10,5,10
20015530000,1.2,5-10,5,10
20015550000,1.2,5-10,5,10
20015560000,1.2,5-10,5,10
20015570000,1.2,5-10,5,10
20015580000,1.2,5-10,5,10
20015590000,1.2,5-10,5,10
20015610000,1.2,5-10,5,10
20015620000,1.2,5-10,5,10
20015630000,1.2,5-10,5,10
20015640000,1.2,5-10,5,10
20015650000,1.2,5-10,5,10
20016810000,1.2,5-10,5,10
20016820000,1.2,5-10,5,10
20016830000,1.2,5-10,5,10
20016840000,1.2,5-10,5,10
20016850000,1.2,5-10,5,10
20016530000,1.2,5-10,5,10
20016540000,1.2,5-10,5,10
20016550000,1.2,5-10,5,10
20016560000,1.2,5-10,5,10
20016570000,1.2,5-10,5,10
20016580000,1.2,5-10,5,10
20016590000,1.2,5-10,5,10
20016600000,1.2,5-10,5,10
20016610000,1.2,5-10,5,10
20016620000,1.2,5-10,5,10
20016630000,1.2,5-10,5,10
20016640000,1.2,5-10,5,10
20016650000,1.2,5-10,5,10
20016660000,1.2,5-10,5,10
20016670000,1.2,5-10,5,10
20016680000,1.2,5-10,5,10
20016690000,1.2,5-10,5,10
20016700000,1.2,5-10,5,10
20016710000,1.2,5-10,5,10
